date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:34	109/109	---MCZ	200	added ('OK')	text/plain	etag:%2220626-1730756747;gz%22	https://themeadapt.com/robots.txt		(from )
21:18:34	83480/83480	---M-Z	200	added ('OK')	text/html	etag:%2214618-66eaddef-ce1b021d8b8ee7a1;gz%22	https://themeadapt.com/tf/logistex/	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/index.html	(from )
21:18:35	714/714	---M--	200	added ('OK')	image/png	etag:%222ca-66eaddf6-f97d5d554ffb1bd2;;;%22	https://themeadapt.com/tf/logistex/assets/img/favicon.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/favicon.png	(from https://themeadapt.com/tf/logistex/)
21:18:35	232948/232948	---M-Z	200	added ('OK')	text/css	etag:%2238df4-66eaddf1-573911a00dfff113;gz%22	https://themeadapt.com/tf/logistex/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/bootstrap.min.css	(from https://themeadapt.com/tf/logistex/)
21:18:35	68601/68601	---M-Z	200	added ('OK')	text/css	etag:%2210bf9-66eaddf0-26a0465a60591758;gz%22	https://themeadapt.com/tf/logistex/assets/css/animate.min.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/animate.min.css	(from https://themeadapt.com/tf/logistex/)
21:18:36	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-66eaddf1-e6eae0f0a752c1dc;gz%22	https://themeadapt.com/tf/logistex/assets/css/magnific-popup.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/magnific-popup.css	(from https://themeadapt.com/tf/logistex/)
21:18:36	59251/59251	---M-Z	200	added ('OK')	text/css	etag:%22e773-66eaddf1-d638079088e3e66c;gz%22	https://themeadapt.com/tf/logistex/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/fontawesome-all.min.css	(from https://themeadapt.com/tf/logistex/)
21:18:36	3459/3459	---M-Z	200	added ('OK')	text/css	etag:%22d83-66eaddf1-f57a88f42dd5c720;gz%22	https://themeadapt.com/tf/logistex/assets/css/flaticon.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/flaticon.css	(from https://themeadapt.com/tf/logistex/)
21:18:37	3620/3620	---M-Z	200	added ('OK')	text/css	etag:%22e24-66eaddf1-6777158a8f687e3a;gz%22	https://themeadapt.com/tf/logistex/assets/css/odometer.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/odometer.css	(from https://themeadapt.com/tf/logistex/)
21:18:37	15806/15806	---M-Z	200	added ('OK')	text/css	etag:%223dbe-66eaddf2-1426aaf89f7014d3;gz%22	https://themeadapt.com/tf/logistex/assets/css/swiper-bundle.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/swiper-bundle.css	(from https://themeadapt.com/tf/logistex/)
21:18:37	16233/16233	---M-Z	200	added ('OK')	text/css	etag:%223f69-66eaddf1-47e1903d46609f5b;gz%22	https://themeadapt.com/tf/logistex/assets/css/jquery-ui.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/jquery-ui.css	(from https://themeadapt.com/tf/logistex/)
21:18:38	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-66eaddf0-3b8bdb86f7b5d008;gz%22	https://themeadapt.com/tf/logistex/assets/css/aos.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/aos.css	(from https://themeadapt.com/tf/logistex/)
21:18:38	8636/8636	---M-Z	200	added ('OK')	text/css	etag:%2221bc-66eaddf0-191b4e54416fff09;gz%22	https://themeadapt.com/tf/logistex/assets/css/default.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/default.css	(from https://themeadapt.com/tf/logistex/)
21:18:38	1602/1602	---M-Z	200	added ('OK')	text/css	etag:%22642-66eaddf0-df9494ced257853f;gz%22	https://themeadapt.com/tf/logistex/assets/css/default-icons.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/default-icons.css	(from https://themeadapt.com/tf/logistex/)
21:18:39	255767/255767	---M-Z	200	added ('OK')	text/css	etag:%223e717-66eaddf2-5603b3e4c63374fb;gz%22	https://themeadapt.com/tf/logistex/assets/css/main.css	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/css/main.css	(from https://themeadapt.com/tf/logistex/)
21:18:39	29041/29041	---M-Z	200	added ('OK')	text/html	etag:%227171-66eadded-ad7809b15bf6ef31;gz%22	https://themeadapt.com/tf/logistex/contact.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/contact.html	(from https://themeadapt.com/tf/logistex/)
21:18:47	83480/83480	---M-Z	200	added ('OK')	text/html	etag:%2214618-66eaddef-ce1b021d8b8ee7a1;gz%22	https://themeadapt.com/tf/logistex/index.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/index-2.html	(from https://themeadapt.com/tf/logistex/)
21:18:48	20777/20777	---M-Z	200	added ('OK')	image/svg+xml	etag:%225129-66eade03-785095fc2fa93396;gz%22	https://themeadapt.com/tf/logistex/assets/img/logo/logo.svg	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/logo/logo.svg	(from https://themeadapt.com/tf/logistex/)
21:18:48	86422/86422	---M-Z	200	added ('OK')	text/html	etag:%2215196-66eaddee-f6736c956ce4ec28;gz%22	https://themeadapt.com/tf/logistex/index-2.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/index-3.html	(from https://themeadapt.com/tf/logistex/)
21:18:48	74068/74068	---M-Z	200	added ('OK')	text/html	etag:%2212154-66eaddee-8bc405232941782c;gz%22	https://themeadapt.com/tf/logistex/index-3.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/index-4.html	(from https://themeadapt.com/tf/logistex/)
21:18:49	84313/84313	---M-Z	200	added ('OK')	text/html	etag:%2214959-66eaddef-9e77ffe35b78a7a8;gz%22	https://themeadapt.com/tf/logistex/index-4.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/index-5.html	(from https://themeadapt.com/tf/logistex/)
21:18:49	57234/57234	---M-Z	200	added ('OK')	text/html	etag:%22df92-66eadded-e1e58c2780ef3c83;gz%22	https://themeadapt.com/tf/logistex/about.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/about.html	(from https://themeadapt.com/tf/logistex/)
21:18:49	30023/30023	---M-Z	200	added ('OK')	text/html	etag:%227547-66eaddef-41fbe0b11ab0af3c;gz%22	https://themeadapt.com/tf/logistex/who-we-are.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/who-we-are.html	(from https://themeadapt.com/tf/logistex/)
21:18:50	41002/41002	---M-Z	200	added ('OK')	text/html	etag:%22a02a-66eaddee-b99bee383441fa9e;gz%22	https://themeadapt.com/tf/logistex/history.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/history.html	(from https://themeadapt.com/tf/logistex/)
21:18:50	31116/31116	---M-Z	200	added ('OK')	text/html	etag:%22798c-66eaddef-4f23f0f048154d0f;gz%22	https://themeadapt.com/tf/logistex/services.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/services.html	(from https://themeadapt.com/tf/logistex/)
21:18:51	40724/40724	---M-Z	200	added ('OK')	text/html	etag:%229f14-66eaddef-d6198a9b20e4e44e;gz%22	https://themeadapt.com/tf/logistex/services-details.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/services-details.html	(from https://themeadapt.com/tf/logistex/)
21:18:51	32254/32254	---M-Z	200	added ('OK')	text/html	etag:%227dfe-66eaddef-507b8f5b89062b67;gz%22	https://themeadapt.com/tf/logistex/project.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/project.html	(from https://themeadapt.com/tf/logistex/)
21:18:51	33788/33788	---M-Z	200	added ('OK')	text/html	etag:%2283fc-66eaddef-2e77c4335493db48;gz%22	https://themeadapt.com/tf/logistex/project-details.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/project-details.html	(from https://themeadapt.com/tf/logistex/)
21:18:52	34408/34408	---M-Z	200	added ('OK')	text/html	etag:%228668-66eaddef-2b303ef34d80546f;gz%22	https://themeadapt.com/tf/logistex/team.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/team.html	(from https://themeadapt.com/tf/logistex/)
21:18:52	33618/33618	---M-Z	200	added ('OK')	text/html	etag:%228352-66eaddef-64b9fe1dba83aa53;gz%22	https://themeadapt.com/tf/logistex/team-details.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/team-details.html	(from https://themeadapt.com/tf/logistex/)
21:18:52	28911/28911	---M-Z	200	added ('OK')	text/html	etag:%2270ef-66eaddee-cba0b559e1484d74;gz%22	https://themeadapt.com/tf/logistex/how-it-work.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/how-it-work.html	(from https://themeadapt.com/tf/logistex/)
21:18:53	28725/28725	---M-Z	200	added ('OK')	text/html	etag:%227035-66eaddef-82e7307dbd233a3c;gz%22	https://themeadapt.com/tf/logistex/pricing.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/pricing.html	(from https://themeadapt.com/tf/logistex/)
21:18:53	32439/32439	---M-Z	200	added ('OK')	text/html	etag:%227eb7-66eaddee-dcee63d185626b4a;gz%22	https://themeadapt.com/tf/logistex/faq.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/faq.html	(from https://themeadapt.com/tf/logistex/)
21:18:53	32621/32621	---M-Z	200	added ('OK')	text/html	etag:%227f6d-66eaddef-42a78295ffbfe865;gz%22	https://themeadapt.com/tf/logistex/testimonial.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/testimonial.html	(from https://themeadapt.com/tf/logistex/)
21:18:54	27092/27092	---M-Z	200	added ('OK')	text/html	etag:%2269d4-66eaddee-4b04cb6c8c807a8a;gz%22	https://themeadapt.com/tf/logistex/client.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/client.html	(from https://themeadapt.com/tf/logistex/)
21:18:55	39427/39427	---M-Z	200	added ('OK')	text/html	etag:%229a03-66eadded-9484684aae821c4e;gz%22	https://themeadapt.com/tf/logistex/blog.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/blog.html	(from https://themeadapt.com/tf/logistex/)
21:18:56	44502/44502	---M-Z	200	added ('OK')	text/html	etag:%22add6-66eadded-d31beee297483402;gz%22	https://themeadapt.com/tf/logistex/blog-details.html	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/blog-details.html	(from https://themeadapt.com/tf/logistex/)
21:29:16	39721/39721	---M--	200	added ('OK')	image/jpeg	etag:%229b29-66eaddf8-66a324fc083a9de0;;;%22	https://themeadapt.com/tf/logistex/assets/img/banner/banner_bg.jpg	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/banner/banner_bg.jpg	(from https://themeadapt.com/tf/logistex/)
21:29:18	447/447	---M-Z	200	added ('OK')	image/svg+xml	etag:%221bf-66eaddfd-53c9cf5e45bde6ab;gz%22	https://themeadapt.com/tf/logistex/assets/img/icon/right_arrow.svg	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/icon/right_arrow.svg	(from https://themeadapt.com/tf/logistex/)
21:29:18	42953/42953	---M--	200	added ('OK')	image/png	etag:%22a7c9-66eaddf8-994f0feef78c2983;;;%22	https://themeadapt.com/tf/logistex/assets/img/banner/banner_shape.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/banner/banner_shape.png	(from https://themeadapt.com/tf/logistex/)
21:29:19	95312/95312	---M--	200	added ('OK')	image/png	etag:%2217450-66eaddf8-95426480054dbe7e;;;%22	https://themeadapt.com/tf/logistex/assets/img/banner/banner_img01.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/banner/banner_img01.png	(from https://themeadapt.com/tf/logistex/)
21:29:20	41946/41946	---M--	200	added ('OK')	image/png	etag:%22a3da-66eaddf8-18c25c3df88c3fc1;;;%22	https://themeadapt.com/tf/logistex/assets/img/banner/banner_img02.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/banner/banner_img02.png	(from https://themeadapt.com/tf/logistex/)
21:29:20	92052/92052	---M--	200	added ('OK')	image/png	etag:%2216794-66eaddfd-ddec362ea90e691a;;;%22	https://themeadapt.com/tf/logistex/assets/img/images/about_img01.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/images/about_img01.png	(from https://themeadapt.com/tf/logistex/)
21:29:20	16084/16084	---M--	200	added ('OK')	image/png	etag:%223ed4-66eaddfd-18003b484d5a1894;;;%22	https://themeadapt.com/tf/logistex/assets/img/images/about_img02.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/images/about_img02.png	(from https://themeadapt.com/tf/logistex/)
21:29:21	36328/36328	---M--	200	added ('OK')	image/png	etag:%228de8-66eaddfd-a4a0bb859fbdeede;;;%22	https://themeadapt.com/tf/logistex/assets/img/images/about_img03.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/images/about_img03.png	(from https://themeadapt.com/tf/logistex/)
21:29:21	24366/24366	---M--	200	added ('OK')	image/png	etag:%225f2e-66eaddfd-f58d1abb70e81dd7;;;%22	https://themeadapt.com/tf/logistex/assets/img/images/author01.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/images/author01.png	(from https://themeadapt.com/tf/logistex/)
21:29:21	34513/34513	---M--	200	added ('OK')	image/png	etag:%2286d1-66eaddfd-1e4c0dedc08c9461;;;%22	https://themeadapt.com/tf/logistex/assets/img/images/author02.png	C:/My%20Web%20Sites/alpha/themeadapt.com/tf/logistex/assets/img/images/author02.png	(from https://themeadapt.com/tf/logistex/)
